trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
82	126.7709514000162	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	146.7717946000339	0.4999889000027906
83	128.26998340000864	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	148.27082660002634	0.4994821000145748
84	129.7698831000016	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	149.7707263000193	0.5001045000099111
85	131.26970500001335	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	151.27054820003104	0.4918452999845613
86	132.76965690002544	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	152.77050010004314	0.5000225999974646
87	134.2623904000211	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	154.2632336000388	0.49709639998036437
88	135.77079470001627	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	155.77163790003397	0.4893154999881517
89	137.26024020000477	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	157.26108340002247	0.4992637000104878
90	138.76012040002388	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	158.76096360004158	0.4999756999895908
91	140.26053990001674	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	160.26138310003444	0.499023499985924
92	141.77104960000725	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	161.77189280002494	0.49990799999795854
93	143.27091560000554	stim	2		50	surprise	0.05	1.0	2000.0	1.0	163.27175880002324	0.4997276000212878
94	144.76988610002445	stim	2		50	surprise	0.05	1.0	2000.0	1.0	164.77072930004215	0.500100899982499
95	146.27006310000434	stim	2		49	surprise	0.05	1.0	2000.0	1.0	166.27090630002203	0.49148550000973046
96	147.7704849000147	stim	2		49	surprise	0.05	1.0	2000.0	1.0	167.7713281000324	0.490913499990711
97	149.2613022000005	stim	2		49	surprise	0.05	1.0	2000.0	1.0	169.2621454000182	0.5000312000047415
98	150.76184610000928	stim	2		50	surprise	0.05	1.0	2000.0	1.0	170.76268930002698	0.49913790001301095
99	152.2604127000086	stim	2		50	surprise	0.05	1.0	2000.0	1.0	172.2612559000263	0.49986430001445115
100	153.76030130000436	stim	2		50	surprise	0.05	1.0	2000.0	1.0	173.76114450002206	0.49946650001220405
101	155.26111570000648	stim	2		50	surprise	0.05	1.0	2000.0	1.0	175.26195890002418	0.4989439000200946
102	156.76027960001375	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	176.76112280003144	0.4997160999919288
103	158.2710712000262	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	178.2719144000439	0.4998862999782432
104	159.77176910001435	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	179.77261230003205	0.48968550001154654
105	161.27158260002034	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	181.27242580003804	0.4986542999977246
106	162.77062910000677	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	182.77147230002447	0.500061700004153
107	164.26170880001155	stim	2		51	surprise	0.05	-1.0	1000.0	0.9804947171720192	184.26255200002925	0.5084110999887343
108	165.76167050001095	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	185.76251370002865	0.4998519000073429
109	167.2615286000073	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	187.262371800025	0.4999039999966044
110	168.76114600000437	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	188.76198920002207	0.49930540000787005
111	170.26128679999965	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	190.26213000001735	0.499140100000659
112	171.7609236999997	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	191.7617669000174	0.5004250000056345
113	173.2609682000184	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	193.2618114000361	0.4993687999958638
