trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
57	89.26977410001564	stim	2		50	surprise	0.05	1.0	2000.0	1.0	109.27061730003334	0.5002186000056099
58	89.76999270002125	stim	0		0	surprise	0.05	1.0	2000.0	1.0	109.77083590003895	0.0019745999888982624
58	89.77196730001015	stim	1		100	surprise	0.05	1.0	2000.0	1.0	109.77281050002784	0.9984577000141144
58	90.77042500002426	stim	2		50	surprise	0.05	1.0	2000.0	1.0	110.77126820004196	0.49971789997653104
59	91.27014290000079	stim	0		0	surprise	0.05	1.0	2000.0	1.0	111.27098610001849	0.002194100001361221
59	91.27233700000215	stim	1		100	surprise	0.05	1.0	2000.0	1.0	111.27318020001985	0.9976637000218034
59	92.27000070002396	stim	2		50	surprise	0.05	1.0	2000.0	1.0	112.27084390004165	0.4996028000023216
60	92.76960350002628	stim	0		0	surprise	0.05	1.0	2000.0	1.0	112.77044670004398	0.0020488999725785106
60	92.77165239999886	stim	1		100	surprise	0.05	1.0	2000.0	1.0	112.77249560001655	0.9983969000168145
60	93.77004930001567	stim	2		50	surprise	0.05	1.0	2000.0	1.0	113.77089250003337	0.499855000001844
61	94.26990430001752	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	114.27074750003521	0.002354900003410876
61	94.27225920002093	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	114.27310240003862	0.9968588000047021
61	95.26911800002563	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	115.26996120004333	0.499885400000494
62	95.76900340002612	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	115.76984660004382	0.002132999972673133
62	95.7711363999988	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	115.7719796000165	0.9977665000187699
62	96.76890290001757	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	116.76974610003526	0.49981649999972433
63	97.26871940001729	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	117.26956260003499	0.0025273000064771622
63	97.27124670002377	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	117.27208990004146	0.997754799987888
63	98.26900150001165	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	118.26984470002935	0.49994340000557713
64	98.76894490001723	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	118.76978810003493	0.002339600003324449
64	98.77128450002056	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	118.77212770003825	0.9983247999916784
64	99.76960930001223	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	119.77045250002993	0.49973519999184646
65	100.26934450000408	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	120.27018770002178	0.002074799995170906
65	100.27141929999925	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	120.27226250001695	0.9986173000070266
65	101.27003660000628	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	121.27087980002398	0.49994010000955313
66	101.76997670001583	stim	0		0	surprise	0.05	-1.0	2000.0	1.0	121.77081990003353	0.002369199995882809
66	101.77234590001171	stim	1		100	surprise	0.05	-1.0	2000.0	1.0	121.77318910002941	0.9977215999970213
66	102.77006750000874	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	122.77091070002643	0.49989030000870116
67	103.26995780001744	stim	0		0	surprise	0.05	1.0	2000.0	1.0	123.27080100003514	0.002317100006621331
67	103.27227490002406	stim	1		100	surprise	0.05	1.0	2000.0	1.0	123.27311810004176	0.9975604999926873
67	104.26983540001675	stim	2		50	surprise	0.05	1.0	2000.0	1.0	124.27067860003444	0.5002223000046797
68	104.77005770002143	stim	0		0	surprise	0.05	1.0	2000.0	1.0	124.77090090003912	0.0021557000000029802
68	104.77221340002143	stim	1		100	surprise	0.05	1.0	2000.0	1.0	124.77305660003913	0.9978828000021167
68	105.77009620002354	stim	2		50	surprise	0.05	1.0	2000.0	1.0	125.77093940004124	0.5000750999897718
69	106.27017130001332	stim	0		0	surprise	0.05	1.0	2000.0	1.0	126.27101450003101	0.0020115000079385936
69	106.27218280002126	stim	1		100	surprise	0.05	1.0	2000.0	1.0	126.27302600003895	0.9980441999796312
69	107.27022700000089	stim	2		50	surprise	0.05	1.0	2000.0	1.0	127.27107020001858	0.5000549000105821
70	107.77028190001147	stim	0		0	surprise	0.05	1.0	2000.0	1.0	127.77112510002917	0.0022501999919768423
70	107.77253210000345	stim	1		100	surprise	0.05	1.0	2000.0	1.0	127.77337530002114	0.9975683999946341
70	108.77010049999808	stim	2		50	surprise	0.05	1.0	2000.0	1.0	128.77094370001578	0.49991270000464283
71	109.27001320000272	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	129.27085640002042	0.002151200023945421
71	109.27216440002667	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	129.27300760004437	0.9987229999969713
71	110.27088740002364	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	130.27173060004134	0.4990533999807667
72	110.7699408000044	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	130.7707840000221	0.0022849999950267375
72	110.77222579999943	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	130.77306900001713	0.9969887000042945
72	111.76921450000373	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	131.77005770002143	0.5005745000089519
73	112.26978900001268	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	132.27063220003038	0.0027006999880541116
73	112.27248970000073	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	132.27333290001843	0.9971528000023682
73	113.2696425000031	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	133.2704857000208	0.49927300002309494
74	113.7689155000262	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	133.7697587000439	0.002248599979793653
74	113.77116410000599	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	133.7720073000237	0.998454100015806
74	114.7696182000218	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	134.7704614000395	0.5000945999927353
75	115.26971280001453	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	135.27055600003223	0.002157499984605238
75	115.27187029999914	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	135.27271350001683	0.997843900026055
75	116.26971420002519	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	136.2705574000429	0.49947149999206886
76	116.76918570001726	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	136.77002890003496	0.002119999990100041
76	116.77130570000736	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	136.77214890002506	0.9982001000025775
76	117.76950580000994	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	137.77034900002764	0.5007716999971308
77	118.27027750000707	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	138.27112070002477	0.002243599999928847
77	118.272521100007	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	138.2733643000247	0.9977159000118263
77	119.27023700001882	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	139.27108020003652	0.5001274999813177
78	119.77036450000014	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	139.77120770001784	0.002239599998574704
78	119.77260409999872	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	139.77344730001641	0.9985947000095621
78	120.77119880000828	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	140.77204200002598	0.4885622000147123
79	121.25976100002299	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	141.2606042000407	0.002409499982604757
79	121.2621705000056	stim	1		101	surprise	0.05	-1.0	1000.0	0.9804947171720192	141.2630137000233	1.0080770000058692
79	122.27024750001146	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	142.27109070002916	0.489522499992745
